IndicativJudet,NumeJudet,Autoturisme
ab,Alba,135177
ar,Arad,173533
ag,Arges,239501
bc,Bacau,189577
bh,Bihor,223325
bn,Bistrita-Nasaud,103044
bt,Botosani,101492
bv,Brasov,224046
bz,Buzau,142014
cs,Caras-Severin,100119
cj,Cluj,296870
ct,Constanta,286102
db,Dambovita,162854
dj,Dolj,239499
gl,Galati,175600
gj,Gorj,126991
hr,Harghita,111595
hd,Hunedoara,156120
is,Iasi,218315
if,Ilfov,196721
mm,Maramures,167276
ms,Mures,194260
nt,Neamt,147640
ot,Olt,129098
ph,Prahova,273598
sm,Satu Mare,128467
sb,Sibiu,159651
sv,Suceava,226648
tm,Timis,296116
vl,Valcea,126577
vn,Vrancea,101233
